RK,TIERS,PLAYER NAME,TEAM,AGE,BEST,WORST,AVG.,STD.DEV,ECR VS ADP
1,1,Josh Allen,BUF,29,1,3,1.6,0.7,-
2,1,Lamar Jackson,BAL,28,1,4,2.1,0.7,-
3,1,Jayden Daniels,WAS,24,1,4,2.4,0.9,-
4,1,Joe Burrow,CIN,28,4,5,4.5,0.5,-
5,1,Jalen Hurts,PHI,26,3,6,4.6,0.8,-
6,2,Patrick Mahomes II,KC,29,4,9,6.3,1.1,-
7,2,Justin Herbert,LAC,27,7,11,8.3,1.3,-
8,2,Bo Nix,DEN,25,7,13,10.1,1.6,-
9,2,Drake Maye,NE,22,6,15,10.2,2.6,-
10,2,Caleb Williams,CHI,23,6,18,10.3,2.9,-
11,3,C.J. Stroud,HOU,23,7,16,10.6,2.5,-
12,3,Kyler Murray,ARI,27,8,21,13.0,2.9,-
13,3,Jordan Love,GB,26,8,18,13.3,2.6,-
14,3,Baker Mayfield,TB,30,9,18,13.4,2.7,-
15,3,Brock Purdy,SF,25,9,20,13.9,2.8,-
16,3,Trevor Lawrence,JAC,25,12,20,16.1,2.1,-
17,3,J.J. McCarthy,MIN,22,8,23,16.9,3.0,-
18,3,Dak Prescott,DAL,31,14,21,17.9,2.0,-
19,4,Jared Goff,DET,30,10,23,18.1,3.1,-
20,4,Cameron Ward,TEN,23,16,29,20.6,3.1,-
21,4,Michael Penix Jr.,ATL,25,14,24,20.7,2.4,-
22,4,Bryce Young,CAR,23,19,26,22.4,1.9,-
23,4,Justin Fields,NYJ,26,16,27,22.5,3.0,-
24,4,Tua Tagovailoa,MIA,27,18,26,22.9,1.6,-
25,4,Sam Darnold,SEA,28,22,28,25.6,1.3,-
26,4,Jaxson Dart,NYG,22,23,32,26.8,2.5,-
27,4,Geno Smith,LV,34,22,30,26.9,1.9,-
28,4,Anthony Richardson Sr.,IND,23,21,33,27.4,2.7,-
29,4,Matthew Stafford,LAR,37,23,31,27.7,1.8,-
30,5,Tyler Shough,NO,25,28,37,31.7,2.2,-
31,5,Jalen Milroe,SEA,22,28,38,31.9,2.5,-
32,5,Russell Wilson,NYG,36,28,35,32.6,1.9,-
