PLAYER NAME,TIERS,SALARY_M
Saquon Barkley,1,20.6
Christian McCaffrey,1,19.0
Derrick Henry,1,15.0
Jonathan Taylor,1,14.0
Alvin Kamara,1,12.2
Josh Jacobs,1,12.0
Aaron Jones,1,10.0
Joe Mixon,1,9.9
James Conner,1,9.5
David Montgomery,1,9.1
Rhamondre Stevenson,1,9.0
Ashton Jeanty,1,9.0
Chuba Hubbard,1,8.3
D'Andre Swift,1,8.0
Tony Pollard,1,7.2
Bijan Robinson,1,5.5
Jaylen Warren,1,5.3
Jordan Mason,1,5.2
Najee Harris,1,5.2
Jahmyr Gibbs,1,4.5
Omarion Hampton,1,4.4
Austin Ekeler,1,4.2
Travis Etienne,1,3.2
Javonte Williams,1,3.0
Quinshon Judkins,1,2.9
TreVeyon Henderson,1,2.8
Rico Dowdle,1,2.8
Nick Chubb,1,2.5
Breece Hall,1,2.3
Kenneth Walker III,1,2.1
J.K. Dobbins,1,2.1
R.J. Harvey,1,1.8
Jerome Ford,1,1.8
Zach Charbonnet,1,1.7
Raheem Mostert,1,1.6
Kaleb Johnson,1,1.6
Trey Benson,1,1.5
Kareem Hunt,1,1.5
James Cook,1,1.5
Blake Corum,1,1.4
MarShawn Lloyd,1,1.4
Tyjae Spears,1,1.4
Devon Achane,1,1.4
Tank Bigsby,1,1.3
Miles Sanders,1,1.3
Bhayshul Tuten,1,1.3
Cam Skattebo,1,1.3
Trevor Etienne,1,1.3
Woody Marks,1,1.3
Jarquez Hunter,1,1.3
Dylan Sampson,1,1.3
Rachaad White,1,1.3
Brian Robinson Jr.,1,1.3
Jaylen Wright,1,1.2
Bucky Irving,1,1.2
Ray Davis,1,1.2
Isaac Guerendo,1,1.2
Jordan James,1,1.2
Jaydon Blue,1,1.2
DJ Giddens,1,1.2
Roschon Johnson,1,1.2
Braelon Allen,1,1.1
Dameon Pierce,1,1.1
Ollie Gordon II,1,1.1
Devin Neal,1,1.1
Tahj Brooks,1,1.1
Damien Martinez,1,1.1
Brashard Smith,1,1.1
Kyle Monangai,1,1.1
Tyrone Tracy Jr.,1,1.1
Jacory Croskey-Merritt,1,1.1
Isaiah Davis,1,1.1
Chase Brown,1,1.0
Tyler Allgeier,1,1.0
Kyren Williams,1,1.0
